# epoch,test_loss
1.000000000000000000e+00,1.482439439561632071e+02
2.000000000000000000e+00,1.206302337646484375e+02
3.000000000000000000e+00,1.115183461507161411e+02
4.000000000000000000e+00,1.073099407619900205e+02
5.000000000000000000e+00,1.039059024386935732e+02
6.000000000000000000e+00,1.009844512939453125e+02
7.000000000000000000e+00,9.574233076307508838e+01
8.000000000000000000e+00,9.364439900716145360e+01
9.000000000000000000e+00,9.129641808403863479e+01
1.000000000000000000e+01,9.024939473470051610e+01
